ID,nam,price,old_price,desc
751,Dung Dịch Tẩy Tế Bào Chết Exfolliating Solutions Toner 7% AHA/PHA 140ml,199.000 ₫,329.000 ₫,"Làm sạch tế bào chất và bụi bẩn, dưỡng sáng da làm mờ thâm."
701,Nước Thần 5% Nia - Bright & Plump Probio-Ferment Solution 150ml,199.000 ₫,329.000 ₫,"Bộ ba chiết xuất lên men bao gồm bia, rượu sake và mật ong giúp tăng độ đàn hồi và làm căng mịn da."
218,Dung Dịch Tẩy Tế Bào Chết All Target Skin Renewing Solution Pionin + 12% AHA/BHA/PHA 120ml,229.000 ₫,360.000 ₫,Làm sạch tế bào chết và hỗ trợ điều trị mụn hiệu quả đồng thời làm dịu và cấp ẩm cho da.
79,Dung Dịch Cân Bằng Da Và Tẩy Tế Bào Chết 2 in 1 Emmié Daily Glow Exfoliating Solution Toner 5% PHA/NANO AHA 50ml,110.500 ₫,130.000 ₫,Cân bằng pH và loại bỏ các tế bào da chết.
76,Dung Dịch Cân Bằng Da Và Tẩy Tế Bào Chết 2in1 Emmié Daily Glow Exfoliating Solution Toner 5% PHA/NANO AHA 230ml,391.000 ₫,460.000 ₫,"Loại bỏ tế bào da chết và bã nhờn dư thừa, giúp tái tạo da và tăng cường sự sáng bóng tự nhiên của làn da."
479,Nước Hoa Hồng Rau Má Phục Hồi Và Tái Tạo Da Skin1004 Madagascar Centella Toning Toner 210ml,480.000 ₫,,"Sản phẩm được chiết xuất từ thành phần tự nhiên, mang lại cảm giác êm dịu và phục hồi làn da bị tổn thương."
461,Nước Hoa Hồng Some By Mi AHA-BHA-PHA 30 Days Miracle Toner 150ml,405.000 ₫,,"Giúp loại bỏ tế bào chết cùng bụi bẩn, bã nhờn tồn đọng trên bề mặt da và sâu trong lỗ chân lông, mang lại làn da sạch thoáng và tươi sáng rạng rỡ."
458,Nước Hoa Hồng Obagi Nu-Derm Toner 200ml,1.000.000 ₫,,"Nước Hoa Hồng Obagi Nu-Derm Toner 200ml được tạo nên từ các nguyên liệu thiên nhiên, giúp duy trì độ đàn hồi và dưỡng da an toàn."
454,Nước Cân Bằng Dưỡng Ẩm Cho Da Thường Đến Khô MartiDerm Essentials Blooming Toner,1.050.000 ₫,,"Giúp làm sáng, làm mềm da và giữ ẩm, đồng thời loại bỏ các tạp chất còn sót lại trên da sau bước làm sạch, chuẩn bị cho da sẵn sàng hấp thụ dưỡng chất từ các bước chăm sóc tiếp theo."
432,Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm Supple Preparation Facial Toner 180ml,409.000 ₫,,"Giúp cân bằng độ pH tự nhiên trên da, giúp dưỡng ẩm dịu nhẹ, không gây kích ứng cho mọi loại da ngay cả đối với làn da nhạy cảm nhất."
410,Nước Cân Bằng Skinclinic Facial Toner 200ml,1.430.000 ₫,,"Cân bằng lại độ ẩm và độ PH trên da, giúp làm sạch và chuẩn bị cho da bước vào liệu trình chăm sóc chuyên sâu."
386,Minisize Nước Cân Bằng Dành Cho Da Nhạy Cảm Bioderma Sensibio Tonique 10ml,19.000 ₫,,"Dưỡng ẩm và làm dịu da, tăng cường hiệu quả chăm sóc da chống lại các tác nhân gây kích ứng."
337,Nước Hoa Hồng Transino Whitening Clear Lotion EX 150ml,890.000 ₫,,"Cung cấp độ ẩm, Collagen. Ức chế melanin. Làm mờ vết thâm, nám, tàn nhang."
219,Combo Da Trắng Bật Tông,599.200 ₫,749.000 ₫,Cải thiện tình trạng da không đều màu và hỗ trợ dưỡng trắng một cách an toàn.
189,Toner Siêu Nhẹ Cho Da Dầu Và Lão Hóa Paula’s Choice Resist Weightless Advanced Repairing Toner 118ml,860.000 ₫,,"Cung cấp độ ẩm và dưỡng chất cho da, đồng thời giúp cho da chống lại các tác nhân từ môi trường."
183,Nước Cân Bằng Dành Cho Da Mụn Eucerin ProAcne Toner 200ml,389.000 ₫,,"Tăng cường khả năng kháng khuẩn và sạch sâu, giúp da đạt trạng thái tốt nhất để hấp thu sản phẩm dưỡng da hoặc chất điều trị mụn."
146,Sữa Dưỡng Cấp Ẩm Chuyên Sâu Klairs Supple Preparation All-Over Lotion,465.000 ₫,,Bổ sung dưỡng chất và cấp ẩm cho da giúp da mềm mịn bất ngờ.
135,Nước Cân Bằng Dưỡng Ẩm Dành Cho Da Nhạy Cảm Bioderma 250ml,425.000 ₫,,"Nước cân bằng dưỡng ẩm và làm dịu da, tăng cường hiệu quả chăm sóc da."
